Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019507,50,,Aggregated,17.700000,10.500000,1,2,2,2,4,6,16,30,91,160,160,1500,888,1,2.7019012353072562,0.4879579646512866,159.8753749858588,58.053333333333335
1777019508,50,,Aggregated,17.300000,10.500000,1,2,2,2,4,6,16,30,91,160,160,1517,896,1,2.6896503915422123,0.4879579646512866,159.8753749858588,58.14370468029005
1777019509,50,,Aggregated,18.100000,11.300000,1,2,2,2,4,6,16,30,91,160,160,1536,906,1,2.6695938153504053,0.4879579646512866,159.8753749858588,58.235677083333336
1777019510,50,,Aggregated,18.500000,11.400000,1,2,2,2,4,6,15,30,91,160,160,1553,918,1,2.656204398755639,0.4879579646512866,159.8753749858588,58.26786864133934
1777019511,50,,Aggregated,18.400000,11.200000,1,2,2,2,4,6,16,30,91,160,160,1575,931,1,2.66107067051861,0.4879579646512866,159.8753749858588,58.231746031746034
1777019512,50,,Aggregated,18.200000,10.900000,1,2,2,2,4,6,16,30,91,160,160,1591,939,1,2.6507445870524613,0.4879579646512866,159.8753749858588,58.27969830295412
1777019513,50,,Aggregated,18.300000,11.100000,1,2,2,2,4,6,16,30,91,160,160,1609,952,1,2.6388216885721287,0.4879579646512866,159.8753749858588,58.29086389061529
1777019514,50,,Aggregated,17.900000,10.600000,1,2,2,2,4,6,16,30,91,160,160,1627,960,1,2.6235156558046477,0.4879579646512866,159.8753749858588,58.36631837738168
1777019515,50,,Aggregated,18.700000,11.200000,1,2,2,2,4,6,16,30,91,160,160,1643,969,1,2.622669667705023,0.4879579646512866,159.8753749858588,58.39866098600122
1777019516,50,,Aggregated,18.300000,10.800000,1,2,2,2,4,6,15,30,91,160,160,1665,982,1,2.6129409988961734,0.4879579646512866,159.8753749858588,58.34234234234234
